iD	systemName	alternateName	x	y	size	sarnaLink	distance (LY)	2271	2317	2319	2341	2367	2571	2596	2750	2765	2767	2783	2786	2821	2822	2830	2864	3025	3030	3040	3049	3050a	3050b	3050c	3051	3052	3057	3058	3059a	3059b	3059c	3059d	3063	3067	3068	3075	3079	3081	3085	3095	3130	3135	3145	3151	3152
13	Abushiri		-267.585	326.475	1,1,0	https://www.sarna.net/wiki/Abushiri	422.123	U	U	U	U	U	U	U	RW,Apollo Province	RW,Apollo Province	RW,Apollo Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
37	Afleir		-51.281	-2.977	1,1,0	https://www.sarna.net/wiki/Afleir	51.367	U	U	U	U	TH	TH,Tyrfing Province	TH,Tyrfing Province	TH,Tyrfing Province	TH,Tyrfing Province	AE,Tyrfing Province	TH,Tyrfing Province	LC,Federation of Skye,Isle of Skye	LC,Federation of Skye,Isle of Skye	LC,Federation of Skye,Isle of Skye	LC,Federation of Skye,Isle of Skye	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
43	Aigle		-234.767	-19.069	1,1,0	https://www.sarna.net/wiki/Aigle	235.540	U	U	U	U	U	U	U	LC,Protectorate of Donegal,Furillo Province	LC,Protectorate of Donegal,Furillo Province	LC,Protectorate of Donegal,Furillo Province	LC,Protectorate of Donegal,Furillo Province	LC,Protectorate of Donegal,Furillo Province	LC,Protectorate of Donegal,Furillo Province	LC,Protectorate of Donegal,Furillo Province	LC,Protectorate of Donegal,Furillo Province	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
55	Albion		-284.426	143.518	1,1,0	https://www.sarna.net/wiki/Albion_(LC)	318.584	U	U	U	U	U	U	U	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
95	Alta		-191.246	-218.099	1,1,0	https://www.sarna.net/wiki/Alta	290.073	U	U	U	U	U	U	U	FWL,Principality of Regulus	FWL,Principality of Regulus	FWL,Principality of Regulus	FWL,Principality of Regulus	FWL,Principality of Regulus	FWL,Principality of Regulus	FWL,Principality of Regulus	FWL,Principality of Regulus	FWL,Principality of Regulus	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
116	Ambrose		-226.176	427.523	1,1,0	https://www.sarna.net/wiki/Ambrose	483.665	U	U	U	U	U	U	U	RW,Apollo Province	RW,Apollo Province	RW,Apollo Province	I	I	I	I	I	I	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
121	Amu Darya		33.408	-338.234	1,1,0	https://www.sarna.net/wiki/Amu_Darya	339.880	U	U	U	U	U	U	U	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
147	Antias		-33.238	-385.416	1,1,0	https://www.sarna.net/wiki/Antias	386.847	U	U	U	U	U	U	U	CC,Andurien Commonality,Region 2	CC,Andurien Commonality,Region 2	CC,Andurien Commonality,Region 2	CC,Andurien Commonality,Region 2	CC,Andurien Commonality,Region 2	CC,Andurien Commonality,Region 2	CC,Andurien Commonality,Region 2	CC,Andurien Commonality,Region 2	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
151	Aodh		-40.211	-195.324	1,1,0	https://www.sarna.net/wiki/Aodh	199.420	U	U	U	U	U	U	U	CC,Capella Commonality,Region 6	CC,Capella Commonality,Region 6	CC,Capella Commonality,Region 6	CC,Capella Commonality,Region 6	CC,Capella Commonality,Region 6	CC,Capella Commonality,Region 6	CC,Capella Commonality,Region 6	CC,Capella Commonality,Region 6	FWL,Federation of Oriente	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
152	Aomen		-18.813	-323.119	1,1,0	https://www.sarna.net/wiki/Aomen	323.666	U	U	U	U	U	U	U	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
